scope,fold,component,feature,loading,explained_variance_ratio,cumulative_explained_variance,n_components_selected,whiten,pc1_var_ratio,pc1_top_feature,pc1_top_loading_abs,evr_threshold,pc1_ratio_threshold,issues_loading_min
fold,1.0,1,commits_8w_sum,0.5827762929138374,0.580164187926611,0.580164187926611,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,1,contributors_8w_unique,0.5727158598797011,0.580164187926611,0.580164187926611,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,1,issues_closed_8w_count,0.4756210297555179,0.580164187926611,0.580164187926611,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,1,releases_8w_count,0.3258112525898408,0.580164187926611,0.580164187926611,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,2,commits_8w_sum,-0.33533500373959335,0.2423166342708184,0.8224808221974294,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,2,contributors_8w_unique,-0.387320924937512,0.2423166342708184,0.8224808221974294,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,2,issues_closed_8w_count,0.3358216637519893,0.2423166342708184,0.8224808221974294,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,2,releases_8w_count,0.7904155530651982,0.2423166342708184,0.8224808221974294,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,3,commits_8w_sum,-0.20669780674091862,0.13832315796755504,0.9608039801649844,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,3,contributors_8w_unique,-0.17083261452878096,0.13832315796755504,0.9608039801649844,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,3,issues_closed_8w_count,0.8130095221602933,0.13832315796755504,0.9608039801649844,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,1.0,3,releases_8w_count,-0.5168246814718183,0.13832315796755504,0.9608039801649844,3,False,0.580164187926611,commits_8w_sum,0.5827762929138374,0.9,0.7,0.7
fold,2.0,1,commits_8w_sum,0.5794831615926556,0.588099202129035,0.588099202129035,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,1,contributors_8w_unique,0.570185089304413,0.588099202129035,0.588099202129035,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,1,issues_closed_8w_count,0.4757273050644205,0.588099202129035,0.588099202129035,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,1,releases_8w_count,0.33581506902109515,0.588099202129035,0.588099202129035,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,2,commits_8w_sum,-0.3427226424270544,0.24181890343480247,0.8299181055638375,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,2,contributors_8w_unique,-0.3986826366610124,0.24181890343480247,0.8299181055638375,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,2,issues_closed_8w_count,0.34711342101007236,0.24181890343480247,0.8299181055638375,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,2,releases_8w_count,0.7765987500295919,0.24181890343480247,0.8299181055638375,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,3,commits_8w_sum,-0.21665702162209557,0.13446733623783255,0.9643854418016701,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,3,contributors_8w_unique,-0.14191388514474396,0.13446733623783255,0.9643854418016701,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,3,issues_closed_8w_count,0.8077906105203216,0.13446733623783255,0.9643854418016701,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,2.0,3,releases_8w_count,-0.5295229114402634,0.13446733623783255,0.9643854418016701,3,False,0.588099202129035,commits_8w_sum,0.5794831615926556,0.9,0.7,0.7
fold,3.0,1,commits_8w_sum,0.5862276019977782,0.5804334091673267,0.5804334091673267,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
fold,3.0,1,contributors_8w_unique,0.57128382473215,0.5804334091673267,0.5804334091673267,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
fold,3.0,1,issues_closed_8w_count,0.4772998551706742,0.5804334091673267,0.5804334091673267,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
fold,3.0,1,releases_8w_count,0.3196198343491753,0.5804334091673267,0.5804334091673267,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
fold,3.0,2,commits_8w_sum,-0.31610933377583883,0.2424688903499408,0.8229022995172675,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
fold,3.0,2,contributors_8w_unique,-0.39299179148040136,0.2424688903499408,0.8229022995172675,3,False,0.5804334091673267,commits_8w_sum,0.5862276019977782,0.9,0.7,0.7
