cluster,n_windows,has_release_8w_rate,zero_8w_rate,cluster_rank_by_commits,commits_8w_sum_p50,commits_8w_sum_p25,commits_8w_sum_p75,contributors_8w_unique_p50,contributors_8w_unique_p25,contributors_8w_unique_p75,issues_closed_8w_count_p50,issues_closed_8w_count_p25,issues_closed_8w_count_p75,releases_8w_count_p50,releases_8w_count_p25,releases_8w_count_p75,pc1_centroid,pc2_centroid,pc3_centroid,stage_name,dur_p50_weeks
1,15195,0.0277064823955248,0.0,0,108.0,57.0,224.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255843104518618,-1.3633858705438455,-0.6639980690985939,Internal Development,4.0
3,8486,1.0,0.0,1,83.0,42.0,164.0,5.0,3.0,8.0,13.0,7.0,24.0,2.0,1.0,3.0,2.7080836874630663,1.6337547105941104,0.0198615205827275,Peak Activity,8.0
5,12989,0.0,0.0,2,56.0,27.0,119.0,4.0,3.0,6.0,8.0,5.0,16.0,0.0,0.0,0.0,1.457923509606675,-0.3982671673603204,1.1978102901905645,Maintenance,6.0
2,12600,1.0,0.0,3,14.0,7.0,30.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,0.5325833755228545,1.1584782782066554,-0.7880969612148667,Release Phase,8.0
4,35628,0.0,0.0,4,7.0,3.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6504487100513469,-0.3316728183122596,-0.0235491446462381,Baseline,7.0
0,18991,0.0089516086567321,0.9328102785529988,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.080316184056297,0.4873153915542852,0.270279106416828,Dormant,8.0
